Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Kevin McCullar,20,20,699,128,273,.469,96,183,.525,32,90,.356,108,131,.824,16,111,127,93,29,9,51,39,396,kevin-mccullar-1
2,Hunter Dickinson,21,21,673,167,282,.592,150,237,.633,17,45,.378,42,58,.724,53,183,236,43,25,28,38,41,393,hunter-dickinson-1
3,KJ Adams,21,20,688,111,175,.634,111,173,.642,0,2,.000,46,76,.605,34,66,100,69,22,14,38,50,268,kj-adamsjr-1
4,Johnny Furphy,20,7,374,56,107,.523,27,36,.750,29,71,.408,21,30,.700,22,55,77,12,12,6,10,41,162,johnny-furphy-1
5,Dajuan Harris,21,21,745,58,137,.423,38,93,.409,20,44,.455,19,26,.731,5,37,42,144,34,8,50,34,155,dajuan-harris-1
6,Elmarko Jackson,21,16,434,32,85,.376,22,53,.415,10,32,.313,25,29,.862,6,24,30,45,15,4,30,44,99,elmarko-jackson-2
7,Nicolas Timberlake,21,0,238,28,80,.350,14,28,.500,14,52,.269,9,13,.692,2,29,31,11,11,1,9,22,79,nicolas-timberlake-1
8,Parker Braun,21,0,171,23,33,.697,21,27,.778,2,6,.333,4,6,.667,5,33,38,8,6,15,9,23,52,parker-braun-1
9,Jamari McDowell,20,0,127,9,31,.290,3,11,.273,6,20,.300,11,13,.846,10,14,24,9,3,2,3,8,35,jamari-mcdowell-1
10,Michael Jankovich,5,0,24,6,9,.667,1,1,1.000,5,8,.625,0,0,,2,1,3,0,0,0,1,0,17,michael-jankovich-1
11,Wilder Evers,3,0,11,2,3,.667,2,2,1.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,4,wilder-evers-1
12,Dillon Wilhite,4,0,11,1,3,.333,1,3,.333,0,0,,1,4,.250,1,1,2,0,0,0,3,3,3,dillon-wilhite-1
13,Patrick Cassidy,2,0,6,0,3,.000,0,1,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,patrick-cassidy-1
